,Dengue,Meningitis,West Nile Virus,Cholera,Anthrax,Salmonella,Ebola,Swine Flu H1N1,Whooping Cough,Avian Influenza,Influenza,E. coli,Waterborne Illness,Gastroenteritis,Rabies,Not Yet Classified,Epizootic Hemorrhagic Disease,Swine Flu H3N2,Hantavirus,Coronavirus,Measles,African Swine Fever,Listeriosis,Mumps,Legionnaires',Norovirus,Foot and Mouth,Eastern Equine Encephalitis,Malaria,Polio,Foodborne Illness,Diarrhea,Poisoning,Plague,Other Animal Disease,"Hand, Foot and Mouth Disease",Tuberculosis,Marburg Fever,Undiagnosed,Chicken Pox,Schmallenberg,Animal Die-off,HIV/AIDS,Chikungunya,Other Plant Disease,Environmental,Syphilis,Peste des petits ruminants,Hepatitis A,SARS,Pests,Typhoid,Dysentery,Respiratory Illness,Equine Infectious Anemia,Algae,Botulism,Newcastle Disease,Encephalitis,Pneumonia,Scabies,MRSA,Fever,Other Human Disease
Plague,0.18597979041339502,0.38376877945362253,0.43343695630922363,0.2541026265583914,0.33003377733743183,0.4058217428478075,0.09206406496658957,0.4597401709675632,0.32859901128250424,0.18035160761064534,0.2954666828918352,0.44762648748267364,0.1429298378674477,0.3947404694348238,0.34993781306865795,0.3641346607725293,0.40958557614195956,0.45703917882696354,0.3236934642085014,0.16078169365032274,0.27736077490917793,0.34442523091993554,0.2862509846056941,0.13345143641207893,0.23011626490660486,0.4660491746716988,0.15264956357357282,0.40958557614195956,0.09581966643850545,-0.044515203208455104,0.44945711525852294,0.2586818215915988,0.37810191649028485,1.0,0.2505416375453569,0.450940680451376,0.37305001714547925,-0.01649337890504535,0.13127365138146055,0.24477740272442858,0.04455764859297779,0.2194357345100443,0.39185519721162665,-0.05374402999275934,0.3896543735513508,0.2447824020076096,0.5325510574488739,-0.04451491488168058,0.34425211187389515,0.16078169365032274,0.4862016323986316,0.45126835486877676,0.3148396977160206,0.3486700601072308,0.15068468852354136,0.48386055519690124,0.2221324660540236,0.30600969852704946,0.3538409090661995,0.42323028823619185,0.37938470369374566,0.597043345108922,0.26472236025143947,0.426596182435878
Other Animal Disease,0.10737192100406433,0.1374886925271327,0.1446857133867609,0.1935602655134159,0.24889876387560383,0.251818096740741,-0.019892044123133824,0.18612813908371628,0.33600765568259017,-0.05722387208900246,0.1796287225520818,0.13367870896103884,0.21932450461908978,0.16282384263877847,0.0804415366791124,0.09624286620287074,0.24050715796291142,0.25710215178541673,0.35724534904540894,0.054861802503683596,0.284442109546201,-0.019359503828625335,0.3145195963922356,0.1508443645732159,0.24658841225062647,0.46598213186526616,-0.009764179084913652,0.24050715796291142,0.0497037420447794,0.10691508143564411,0.04103758253047922,0.08719535840799732,0.09909575323443588,0.2505416375453569,1.0,0.0535630428253786,0.3545386945794501,-0.030668697995270583,0.14177572343310355,0.0901117584830562,0.15761672448864994,0.4581462139375329,0.2662210036381164,-0.0999346122092966,0.31153366026502327,0.26754156035030974,0.2668744628661237,0.09567101761743617,0.06128432322037032,0.054861802503683596,0.22268866519363928,0.25554553612402237,0.03434572172153873,0.11674152640537894,0.17566364166574197,0.3749859717380858,0.10620478509019396,0.3443273806350046,0.05501629281976983,0.1640183986952202,0.2725119662449953,0.33289573623175106,0.012574485405919595,0.12091120938861662
"Hand, Foot and Mouth Disease",0.3031677947167672,0.14543628028361003,0.10610813299568965,0.10539434304990068,0.10801485834535424,0.09220274304580257,0.03370135104968713,0.3576794506441438,0.11792722679074297,0.3393031019117283,0.2093719422872848,0.27921438109491187,0.2533557497690714,0.31124063954837733,0.3072371047578342,0.25098692788986027,0.29551719010789385,0.3171515482150502,0.10376816579878098,0.09450419557337256,0.1411829469838581,0.022481799244797613,0.1799573973558885,0.07152366134932181,0.13191715674871116,0.2125455162709659,0.1407669711263803,0.29551719010789385,0.1779851375959231,0.05662883937990292,0.2606600221381955,0.23295115453092724,0.1763455565753411,0.450940680451376,0.0535630428253786,1.0,0.25478328781101395,-0.023800042156340444,0.1963513869531835,0.14203472169610207,-0.013039463290665385,0.12211715747057454,0.2591884765468815,0.22593674219247906,0.22327815169629467,0.1449232224389577,0.25537783454067,-0.06423528234386314,0.10525219304516674,0.09450419557337256,0.32211848947067473,0.1903154919685461,0.1960320250294338,0.3078506217195195,0.08266604017743388,0.20192917749755163,0.1465279613107692,0.322937251466412,0.5152541151686164,0.1891887944820388,0.14224164617018822,0.407976498266114,0.15947819386142775,0.19990459525849988
Tuberculosis,0.2776282184625736,0.37654139173597384,0.16901217468830818,0.2723149883328361,0.3436899228372262,0.3446334224971391,0.09885224715586521,0.33944791613508063,0.2779705454025168,0.15242902181103657,0.23869011565421663,0.270373533101469,0.2844037613284199,0.50867733060748,0.22768269235767868,0.23614510465364577,0.21030074665079837,0.3538648956249398,0.26617691506636026,0.22739583833417784,0.44665465414450106,0.07421326971088206,0.24364964475868195,0.19470333016304867,0.2537795935491495,0.41507652446506244,0.1583999019603381,0.21030074665079837,0.2854886665155845,0.21021312371058054,0.2792733578433158,0.2809123192476601,0.2110440552378746,0.37305001714547925,0.3545386945794501,0.25478328781101395,1.0,-0.03760344476537454,0.2201244378878689,0.35598144046225066,0.1411699874004732,0.2927616259641258,0.2640206515527137,0.21260313294605548,0.38957417312956844,0.19631887217754465,0.3538523532367044,0.2088445713889665,0.27700456561379155,0.2234843840994471,0.32630593400520436,0.37524524785248387,0.07701420911811184,0.30040212825182483,0.21357702761954517,0.40090887077124654,0.35380620092708,0.3629034419667572,0.2247569949600166,0.3642987695659351,0.352205408220599,0.16780283686353054,0.2311866027063747,0.31625538053946606
Marburg Fever,-0.053244477152100636,-0.03506637062085137,-0.03421575299062963,0.11749664397394537,-0.03420973666377785,-0.03506674246439394,0.33778821715728297,-0.029748715845594326,-0.03246817900645323,-0.02688034882539232,-0.05400081686845278,-0.024854450542588575,-0.03157939615447048,-0.04481687418873884,-0.040841739496691905,0.19114537881615762,-0.006622516556291391,-0.01154658224194322,-0.023799577147379097,-0.015005833664558266,-0.037589106207968695,-0.022709336539337047,-0.01787388518162592,-0.01649300748413368,-0.021579712503764698,-0.022708855791275826,-0.030672032507305894,-0.006622516556291391,-0.04406502137750383,-0.01787400095225418,-0.03675813422327149,0.12587647606696892,-0.03841245846354337,-0.01649337890504535,-0.030668697995270583,-0.023800042156340444,-0.03760344476537454,1.0,-0.03334705448590143,-0.020403627653162323,-0.02688077760679205,-0.02271212548031874,-0.020404252741960963,-0.02157961267233078,-0.03592204696394765,-0.020404044372644686,-0.020405294684306338,-0.01787388518162592,-0.02270981731793197,-0.015005833664558266,-0.02270981731793197,-0.03592248903882821,0.39033451045783046,-0.03247242047595769,-0.015005833664558266,-0.01649337890504535,-0.011546752168319666,-0.01649288368273913,-0.015005967934736058,-0.02588262880154918,-0.020403836009711913,-0.013377113322660575,0.3355288470756396,-0.02485535311657189
Undiagnosed,0.1272012963070054,0.28855764592728295,-0.050364054372956074,0.2530732336137738,0.2580986690997287,0.048583717778701664,0.3382540967607644,0.16338984725309433,0.028249501285015934,0.2014273036927508,0.09808064439966367,0.10479253723673584,0.19603456049993204,0.13735337604180642,0.15606221352939567,0.23554990964781947,0.22888205578959617,0.09626534876625066,0.037402377693342224,0.25196157367981964,0.4174172290934395,0.10425362861459976,0.015095217560110383,0.40514936352225034,0.06571747502073252,0.12774032134367988,0.25755522840223166,0.22888205578959617,0.20244184347358404,0.28340051127235794,0.07260922313423968,0.10954384305526799,0.21505091918283128,0.13127365138146055,0.14177572343310355,0.1963513869531835,0.2201244378878689,-0.03334705448590143,1.0,0.15739483752888625,0.06487678487616073,0.12209084326223349,0.23290752548224306,0.10699836860678509,0.1438445133536333,0.15988332046566506,0.07209085438263353,0.32956481863150827,-0.03636954385169775,0.2481383593573831,0.12510948993655222,0.3315894625724069,0.10810771320761062,0.13275321152758404,0.04190170590736607,0.13908864330326787,0.09626676546441729,0.22049784675241363,0.2717941054540673,0.16275879276368518,0.06539807602291242,0.0676764432853877,0.2636271938053527,0.3784645062543902
Chicken Pox,0.24795830326340332,0.28906785996861867,0.07428504235194172,0.16785501431399014,0.06274863510885854,0.20028245786873797,-0.06286154836614243,0.36159950044656064,0.14644172647240652,0.2897705381225668,0.24541539129398485,0.1357376645253117,0.1712894754104526,0.21689710856168717,0.260575877666622,0.1590077861266162,0.33779339114679846,0.3861523203999618,0.15248401135324363,-0.046232189850257205,0.042491285235390724,0.033216314698503134,0.21107293998529067,0.24558907621927847,0.0533054158375085,0.146345827023617,0.1714083783169305,0.33779339114679846,0.13694158273534615,0.07423025164375646,0.20574621887501401,0.17160417079078058,0.2818707340975559,0.24477740272442858,0.0901117584830562,0.14203472169610207,0.35598144046225066,-0.020403627653162323,0.15739483752888625,1.0,0.010921356918312128,0.15020789013795954,0.18077099829774895,0.04491670077438766,0.2621095704693486,0.1735596266930612,0.29738562190752493,0.083085817265352,0.1496346683511613,-0.046232189850257205,0.3724546477410175,0.2761575580262382,-0.05081409472164955,0.23734766113991454,-0.046232189850257205,0.37764736623476514,0.384771065999432,0.23742781826619117,0.2721775553994828,0.3180144613927219,0.2965576398900628,0.14324039081784362,0.45083928475069873,0.23373011004306238
Schmallenberg,0.005521970481303002,0.11012440772339718,0.08959243786319461,-0.06879315909087212,0.17236938266606788,0.5196479873841311,-0.0828170034453154,0.016691387128618132,0.2030662131214677,-0.03299378216611657,-0.03964391954625631,0.22608737190243458,0.12864168819085461,0.19797289725616005,-0.05163277030809544,0.00826549905133642,0.23655084293977002,0.10824759000381642,0.31506654031775755,0.19958799648272846,0.10468525349321901,-0.015458414835574218,0.13663593468120644,0.1653562922229017,0.35724857128675336,0.3412797325774989,-0.05563598774766369,0.23655084293977002,0.027564134324141402,-0.0725505237257112,0.12978337433116427,-0.028800446532233757,0.07131499430764879,0.04455764859297779,0.15761672448864994,-0.013039463290665385,0.1411699874004732,-0.02688077760679205,0.06487678487616073,0.010921356918312128,1.0,0.3380206727765547,0.009735077573642911,0.09406491812940035,0.17604080807425881,0.384733440291043,0.012108923749984518,-0.07255005381302997,0.07788177489494898,0.19958799648272846,-0.004653059321236688,0.023152980461704047,-0.0669450748034713,0.013643022425294391,0.4351120906296295,0.1703956909784617,0.10824918303977657,0.04599503179756226,0.060043633533177994,0.052071274410354765,0.11412652003014397,0.21980434444446914,0.02064625938027368,0.14798240916044392
Animal Die-off,0.0805362103571999,0.16074686401883614,0.05068957401860249,0.04359247772142094,0.24835720507993495,0.4530821745723243,-0.06997380067155227,0.2202861766400868,0.28235336980673315,0.06773611715017502,0.13070848837307802,0.3085329410875054,0.34659396222414596,0.24356652454001115,0.00031347216214607334,0.14274548124223976,0.31177554068437546,0.34682598354611277,0.38924744482409096,0.09637610922626161,0.3173765945148187,0.011712844835958197,0.4328014068999915,0.21852866727889217,0.3605646798727636,0.6261708427165724,0.05822440820620822,0.31177554068437546,0.0874066700847316,0.062001261438524205,0.13644759420661798,0.15366822029140276,0.07555670147772363,0.2194357345100443,0.4581462139375329,0.12211715747057454,0.2927616259641258,-0.02271212548031874,0.12209084326223349,0.15020789013795954,0.3380206727765547,1.0,0.2602607434801684,-0.07400794949542862,0.4017095812274983,0.4759485959532437,0.3787731966255175,0.054197068573032484,0.021588339528634,0.09637610922626161,0.23864050329475095,0.19956192252963476,0.07029250464332393,0.12689070388284535,0.39114320262114605,0.48813427832206346,0.1573576718317938,0.34630653082104523,0.10211428236332432,0.09824550508371874,0.3769511587538523,0.44137621252006515,0.05927554579106487,0.20862691850229007
HIV/AIDS,0.15516430584257807,0.14241913333948514,0.22774698559594644,0.1701135105503132,0.22639377407772424,0.20695895685119856,0.057226593474870226,0.25688093672686435,0.1526444785050202,0.19779408645484312,0.2858292607344296,0.1383426370238563,0.08287708688267485,0.24557845209367127,0.26139095260466577,0.1208909479196076,0.33326946145202907,0.17267643621338138,0.14474766444006293,0.1203155249767387,0.3403295007042655,0.15906564090526157,0.2193376351893157,0.09405353035306976,0.05179065583451409,0.36741943818003375,0.18027044889053123,0.33326946145202907,0.2325804115674342,0.08031697047987882,0.19273577278286316,0.08393643588962649,0.18769711652392196,0.39185519721162665,0.2662210036381164,0.2591884765468815,0.2640206515527137,-0.020404252741960963,0.23290752548224306,0.18077099829774895,0.009735077573642911,0.2602607434801684,1.0,-0.06648769652701898,0.29855051010583,0.18075426611646844,0.3113657489480752,0.0717476753178265,0.14744455594431774,0.1203155249767387,0.28265088826058615,0.18400172623586863,0.24556564517209795,0.24446645605596565,-0.046233606227016444,0.24656794723192524,0.17267897742258842,0.24010338909506052,0.28054046238627833,0.23284078524191373,0.3076416405200285,0.14090983954153885,0.07312881922475806,0.3334588571023712
Chikungunya,0.21779570600647905,0.09701521581747959,-0.04377111642198543,0.011540917012349751,0.02599339885257817,0.032951631835331154,0.04937748213454475,-0.005155083643916927,-0.029863481227276303,0.19127700903459105,-0.017285163872286992,0.10940040637449651,0.2056451913796957,0.11012270398641741,0.12672605991113287,0.12470591401889146,-0.02157961267233078,-0.03762478664302246,0.023278185414328068,-0.04889683182429499,0.08561408782153355,-0.07399886167123981,-0.058242439394549206,0.07442673387432738,0.03939193471574945,0.024097803352600772,0.062175223474660826,-0.02157961267233078,0.13696617222319324,0.07410632064033704,0.08594436342819242,0.076059773637389,-0.12516782229072426,-0.05374402999275934,-0.0999346122092966,0.22593674219247906,0.21260313294605548,-0.02157961267233078,0.10699836860678509,0.04491670077438766,0.09406491812940035,-0.07400794949542862,-0.06648769652701898,1.0,0.021038693952875883,0.037812061151148164,-0.06649109171856725,0.0640995268148657,0.14351745744257324,-0.04889683182429499,-0.07400042829863461,0.01846376039193565,0.08667208248801322,0.054918193647844005,0.09869439476114278,-0.05374402999275934,-0.037625340351775824,0.0841080600716061,0.2630222721258731,0.01273013149049054,0.05178449837285043,-0.04358961155071054,0.05690648758504183,-0.0809917028565343
Other Plant Disease,0.350920614734961,0.39998537465049533,0.14591007568297978,0.2020325248171486,0.2876478463536786,0.3799216221303925,-0.03123093385299721,0.4046528813782985,0.4867699446913728,0.09139937776282632,0.42078272922790017,0.45445624491131725,0.2151653972209538,0.40211405707835024,0.23412558395961364,0.23904355462441554,0.2169691636622438,0.35080124859874295,0.4201455173319005,0.14077921593355963,0.2689366265906155,0.3380866639432948,0.360581432586123,0.1997785150790341,0.26990643773119094,0.48628802719755515,0.06780240419984869,0.2169691636622438,0.2582624776318307,0.06463025751522346,0.22462242632716606,0.21636130550269336,0.40674844849606645,0.3896543735513508,0.31153366026502327,0.22327815169629467,0.38957417312956844,-0.03592204696394765,0.1438445133536333,0.2621095704693486,0.17604080807425881,0.4017095812274983,0.29855051010583,0.021038693952875883,1.0,0.22106764124901634,0.4477029978462572,-0.016576613316503463,0.22640963794750799,0.14077921593355963,0.37401735838165673,0.3740026664215115,0.108743234153007,0.261787635372388,0.2423345714481651,0.39810243069160756,0.20988938994900816,0.2842197366882449,0.23368308025718126,0.4177914843411705,0.3489145188184629,0.1818309528153429,0.28032905671399067,0.4395086945079533
